strength,date,,filename
397,2012-09-15.6,2012-09-11,AR_LIST_2012.09.11_00:00:00.txt
267,2012-09-14.9,2012-09-11,AR_LIST_2012.09.11_12:00:00.txt
190,2012-09-15.3,2012-09-12,AR_LIST_2012.09.12_00:00:00.txt
124,2012-09-14.4,2012-09-12,AR_LIST_2012.09.12_12:00:00.txt
54,2012-09-14.8,2012-09-13,AR_LIST_2012.09.13_00:00:00.txt
90,2012-09-14.2,2012-09-13,AR_LIST_2012.09.13_12:00:00.txt
43,2012-09-14.5,2012-09-14,AR_LIST_2012.09.14_00:00:00.txt
119,2012-09-14.3,2012-09-14,AR_LIST_2012.09.14_12:00:00.txt
6,2012-09-15.0,2012-09-15,AR_LIST_2012.09.15_00:00:00.txt
534,2012-10-08.1,2012-09-30,AR_LIST_2012.09.30_12:00:00.txt
540,2012-10-08.7,2012-10-01,AR_LIST_2012.10.01_00:00:00.txt
587,2012-10-08.3,2012-10-01,AR_LIST_2012.10.01_12:00:00.txt
419,2012-10-09.0,2012-10-02,AR_LIST_2012.10.02_00:00:00.txt
397,2012-10-08.5,2012-10-02,AR_LIST_2012.10.02_12:00:00.txt
305,2012-10-09.0,2012-10-03,AR_LIST_2012.10.03_00:00:00.txt
421,2012-10-08.5,2012-10-03,AR_LIST_2012.10.03_12:00:00.txt
556,2012-10-14.1,2012-10-03,AR_LIST_2012.10.03_12:00:00.txt
372,2012-10-09.0,2012-10-04,AR_LIST_2012.10.04_00:00:00.txt
850,2012-10-14.7,2012-10-04,AR_LIST_2012.10.04_00:00:00.txt
433,2012-10-08.5,2012-10-04,AR_LIST_2012.10.04_12:00:00.txt
800,2012-10-11.5,2012-10-04,AR_LIST_2012.10.04_12:00:00.txt
982,2012-10-14.2,2012-10-04,AR_LIST_2012.10.04_12:00:00.txt
418,2012-10-09.0,2012-10-05,AR_LIST_2012.10.05_00:00:00.txt
602,2012-10-12.0,2012-10-05,AR_LIST_2012.10.05_00:00:00.txt
1304,2012-10-14.7,2012-10-05,AR_LIST_2012.10.05_00:00:00.txt
433,2012-10-08.5,2012-10-05,AR_LIST_2012.10.05_12:00:00.txt
865,2012-10-11.6,2012-10-05,AR_LIST_2012.10.05_12:00:00.txt
1851,2012-10-14.3,2012-10-05,AR_LIST_2012.10.05_12:00:00.txt
481,2012-10-08.9,2012-10-06,AR_LIST_2012.10.06_00:00:00.txt
493,2012-10-12.3,2012-10-06,AR_LIST_2012.10.06_00:00:00.txt
2489,2012-10-14.9,2012-10-06,AR_LIST_2012.10.06_00:00:00.txt
583,2012-10-08.4,2012-10-06,AR_LIST_2012.10.06_12:00:00.txt
1119,2012-10-11.7,2012-10-06,AR_LIST_2012.10.06_12:00:00.txt
2703,2012-10-14.4,2012-10-06,AR_LIST_2012.10.06_12:00:00.txt
626,2012-10-08.9,2012-10-07,AR_LIST_2012.10.07_00:00:00.txt
922,2012-10-12.2,2012-10-07,AR_LIST_2012.10.07_00:00:00.txt
2790,2012-10-15.0,2012-10-07,AR_LIST_2012.10.07_00:00:00.txt
677,2012-10-08.4,2012-10-07,AR_LIST_2012.10.07_12:00:00.txt
1250,2012-10-11.7,2012-10-07,AR_LIST_2012.10.07_12:00:00.txt
2734,2012-10-14.5,2012-10-07,AR_LIST_2012.10.07_12:00:00.txt
736,2012-10-08.9,2012-10-08,AR_LIST_2012.10.08_00:00:00.txt
897,2012-10-12.1,2012-10-08,AR_LIST_2012.10.08_00:00:00.txt
2504,2012-10-15.0,2012-10-08,AR_LIST_2012.10.08_00:00:00.txt
660,2012-10-08.4,2012-10-08,AR_LIST_2012.10.08_12:00:00.txt
1039,2012-10-11.7,2012-10-08,AR_LIST_2012.10.08_12:00:00.txt
