strength,date,Unnamed: 2,filename
1344,2016-12,2016-03-22,AR_LIST_2016.03.22_00:00:00.txt
1007,2016-12,2016-03-22,AR_LIST_2016.03.22_12:00:00.txt
472,2016-13,2016-03-22,AR_LIST_2016.03.22_12:00:00.txt
861,2016-12,2016-03-23,AR_LIST_2016.03.23_00:00:00.txt
475,2016-13,2016-03-23,AR_LIST_2016.03.23_00:00:00.txt
807,2016-12,2016-03-23,AR_LIST_2016.03.23_12:00:00.txt
757,2016-13,2016-03-23,AR_LIST_2016.03.23_12:00:00.txt
486,2016-12,2016-03-24,AR_LIST_2016.03.24_00:00:00.txt
575,2016-13,2016-03-24,AR_LIST_2016.03.24_00:00:00.txt
147,2016-12,2016-03-24,AR_LIST_2016.03.24_12:00:00.txt
690,2016-13,2016-03-24,AR_LIST_2016.03.24_12:00:00.txt
6,2016-12,2016-03-25,AR_LIST_2016.03.25_00:00:00.txt
389,2016-13,2016-03-25,AR_LIST_2016.03.25_00:00:00.txt
575,2016-13,2016-03-25,AR_LIST_2016.03.25_12:00:00.txt
234,2016-13,2016-03-26,AR_LIST_2016.03.26_00:00:00.txt
324,2016-13,2016-03-26,AR_LIST_2016.03.26_12:00:00.txt
94,2016-13,2016-03-27,AR_LIST_2016.03.27_00:00:00.txt
144,2016-13,2016-03-27,AR_LIST_2016.03.27_12:00:00.txt
52,2016-13,2016-03-28,AR_LIST_2016.03.28_00:00:00.txt
45,2016-13,2016-03-28,AR_LIST_2016.03.28_12:00:00.txt
431,2016-14,2016-03-29,AR_LIST_2016.03.29_12:00:00.txt
585,2016-14,2016-03-30,AR_LIST_2016.03.30_00:00:00.txt
663,2016-14,2016-03-30,AR_LIST_2016.03.30_12:00:00.txt
778,2016-14,2016-03-31,AR_LIST_2016.03.31_00:00:00.txt
774,2016-14,2016-03-31,AR_LIST_2016.03.31_12:00:00.txt
813,2016-14,2016-04-01,AR_LIST_2016.04.01_00:00:00.txt
508,2016-14,2016-04-01,AR_LIST_2016.04.01_00:00:00.txt
650,2016-14,2016-04-01,AR_LIST_2016.04.01_12:00:00.txt
767,2016-14,2016-04-01,AR_LIST_2016.04.01_12:00:00.txt
845,2016-14,2016-04-02,AR_LIST_2016.04.02_00:00:00.txt
804,2016-14,2016-04-02,AR_LIST_2016.04.02_00:00:00.txt
830,2016-14,2016-04-02,AR_LIST_2016.04.02_12:00:00.txt
971,2016-14,2016-04-02,AR_LIST_2016.04.02_12:00:00.txt
951,2016-14,2016-04-03,AR_LIST_2016.04.03_00:00:00.txt
892,2016-14,2016-04-03,AR_LIST_2016.04.03_00:00:00.txt
706,2016-14,2016-04-03,AR_LIST_2016.04.03_12:00:00.txt
1158,2016-14,2016-04-03,AR_LIST_2016.04.03_12:00:00.txt
733,2016-14,2016-04-04,AR_LIST_2016.04.04_00:00:00.txt
952,2016-14,2016-04-04,AR_LIST_2016.04.04_00:00:00.txt
451,2016-14,2016-04-04,AR_LIST_2016.04.04_12:00:00.txt
1103,2016-14,2016-04-04,AR_LIST_2016.04.04_12:00:00.txt
148,2016-14,2016-04-05,AR_LIST_2016.04.05_00:00:00.txt
1010,2016-14,2016-04-05,AR_LIST_2016.04.05_00:00:00.txt
1106,2016-14,2016-04-05,AR_LIST_2016.04.05_12:00:00.txt
863,2016-14,2016-04-06,AR_LIST_2016.04.06_00:00:00.txt
869,2016-14,2016-04-06,AR_LIST_2016.04.06_12:00:00.txt
690,2016-14,2016-04-07,AR_LIST_2016.04.07_00:00:00.txt
553,2016-14,2016-04-07,AR_LIST_2016.04.07_12:00:00.txt
92,2016-14,2016-04-08,AR_LIST_2016.04.08_00:00:00.txt
485,2016-16,2016-04-15,AR_LIST_2016.04.15_12:00:00.txt
430,2016-16,2016-04-16,AR_LIST_2016.04.16_00:00:00.txt
448,2016-16,2016-04-16,AR_LIST_2016.04.16_12:00:00.txt
287,2016-16,2016-04-17,AR_LIST_2016.04.17_00:00:00.txt
242,2016-16,2016-04-17,AR_LIST_2016.04.17_12:00:00.txt
430,2016-16,2016-04-17,AR_LIST_2016.04.17_12:00:00.txt
58,2016-16,2016-04-18,AR_LIST_2016.04.18_00:00:00.txt
268,2016-16,2016-04-18,AR_LIST_2016.04.18_00:00:00.txt
51,2016-16,2016-04-18,AR_LIST_2016.04.18_12:00:00.txt
257,2016-16,2016-04-18,AR_LIST_2016.04.18_12:00:00.txt
446,2016-17,2016-04-19,AR_LIST_2016.04.19_00:00:00.txt
569,2016-16,2016-04-19,AR_LIST_2016.04.19_12:00:00.txt
533,2016-17,2016-04-20,AR_LIST_2016.04.20_00:00:00.txt
605,2016-16,2016-04-20,AR_LIST_2016.04.20_12:00:00.txt
491,2016-17,2016-04-21,AR_LIST_2016.04.21_00:00:00.txt
567,2016-16,2016-04-21,AR_LIST_2016.04.21_12:00:00.txt
373,2016-17,2016-04-22,AR_LIST_2016.04.22_00:00:00.txt
328,2016-16,2016-04-22,AR_LIST_2016.04.22_12:00:00.txt
165,2016-17,2016-04-23,AR_LIST_2016.04.23_00:00:00.txt
96,2016-16,2016-04-23,AR_LIST_2016.04.23_12:00:00.txt
15,2016-17,2016-04-24,AR_LIST_2016.04.24_00:00:00.txt
412,2016-17,2016-04-24,AR_LIST_2016.04.24_12:00:00.txt
417,2016-17,2016-04-25,AR_LIST_2016.04.25_00:00:00.txt
344,2016-17,2016-04-25,AR_LIST_2016.04.25_12:00:00.txt
320,2016-17,2016-04-26,AR_LIST_2016.04.26_00:00:00.txt
476,2016-18,2016-04-26,AR_LIST_2016.04.26_00:00:00.txt
473,2016-17,2016-04-26,AR_LIST_2016.04.26_12:00:00.txt
641,2016-18,2016-04-26,AR_LIST_2016.04.26_12:00:00.txt
324,2016-17,2016-04-27,AR_LIST_2016.04.27_00:00:00.txt
1147,2016-18,2016-04-27,AR_LIST_2016.04.27_00:00:00.txt
281,2016-17,2016-04-27,AR_LIST_2016.04.27_12:00:00.txt
1263,2016-18,2016-04-27,AR_LIST_2016.04.27_12:00:00.txt
20,2016-17,2016-04-28,AR_LIST_2016.04.28_00:00:00.txt
1373,2016-18,2016-04-28,AR_LIST_2016.04.28_00:00:00.txt
6,2016-17,2016-04-28,AR_LIST_2016.04.28_12:00:00.txt
1350,2016-18,2016-04-28,AR_LIST_2016.04.28_12:00:00.txt
5,2016-18,2016-04-29,AR_LIST_2016.04.29_00:00:00.txt
1437,2016-18,2016-04-29,AR_LIST_2016.04.29_00:00:00.txt
1716,2016-18,2016-04-29,AR_LIST_2016.04.29_12:00:00.txt
1524,2016-18,2016-04-30,AR_LIST_2016.04.30_00:00:00.txt
1711,2016-18,2016-04-30,AR_LIST_2016.04.30_12:00:00.txt
1286,2016-18,2016-05-01,AR_LIST_2016.05.01_00:00:00.txt
1246,2016-18,2016-05-01,AR_LIST_2016.05.01_12:00:00.txt
903,2016-18,2016-05-02,AR_LIST_2016.05.02_00:00:00.txt
840,2016-18,2016-05-02,AR_LIST_2016.05.02_12:00:00.txt
632,2016-18,2016-05-03,AR_LIST_2016.05.03_00:00:00.txt
474,2016-18,2016-05-03,AR_LIST_2016.05.03_12:00:00.txt
104,2016-18,2016-05-04,AR_LIST_2016.05.04_00:00:00.txt
3,2016-18,2016-05-04,AR_LIST_2016.05.04_12:00:00.txt
415,2016-19,2016-05-04,AR_LIST_2016.05.04_12:00:00.txt
652,2016-19,2016-05-05,AR_LIST_2016.05.05_00:00:00.txt
715,2016-19,2016-05-05,AR_LIST_2016.05.05_12:00:00.txt
559,2016-19,2016-05-05,AR_LIST_2016.05.05_12:00:00.txt
